aceh|acehselatan|bakongan|keudebakongan,23773
aceh|acehselatan|bakongan|ujongmangki,23773
aceh|acehselatan|bakongan|ujongpadang,23773
aceh|acehselatan|bakongan|gampongdrien,23773
aceh|acehselatan|bakongan|darulikhsan,23773
aceh|acehselatan|bakongan|padangbeurahan,23773
aceh|acehselatan|bakongan|gampongbaro,23773
aceh|acehselatan|kluetutara|fajarharapan,23771
aceh|acehselatan|kluetutara|kruengbatee,23771
aceh|acehselatan|kluetutara|pasikualaasahan,23771
aceh|acehselatan|kluetutara|gunungpulo,23771
aceh|acehselatan|kluetutara|puloiei,23771
aceh|acehselatan|kluetutara|jambomanyang,23771
aceh|acehselatan|kluetutara|simpangempat,23771
aceh|acehselatan|kluetutara|limaupurut,23771
aceh|acehselatan|kluetutara|pulokambing,23771
aceh|acehselatan|kluetutara|kampungpaya,23771
aceh|acehselatan|kluetutara|kruengbatu,23771
aceh|acehselatan|kluetutara|kruengkluet,23771
aceh|acehselatan|kluetutara|alurmas,23771
aceh|acehselatan|kluetutara|kampungtinggi,23771
aceh|acehselatan|kluetutara|ruak,23771
aceh|acehselatan|kluetutara|simpanglhee,23771
aceh|acehselatan|kluetutara|suaqgeuringgeng,23771
aceh|acehselatan|kluetutara|pasikualabau,23771
aceh|acehselatan|kluetutara|kedaipadang,23771
aceh|acehselatan|kluetutara|kotafajar,23771
aceh|acehselatan|kluetutara|gunungpudung,23771
aceh|acehselatan|kluetselatan|suaqbakung,23772
aceh|acehselatan|kluetselatan|rantaubinuang,23772
aceh|acehselatan|kluetselatan|baratdaya,23772
aceh|acehselatan|kluetselatan|sialang,23772
aceh|acehselatan|kluetselatan|kapeh,23772
aceh|acehselatan|kluetselatan|puloie,23772
aceh|acehselatan|kluetselatan|kedairunding,23772
aceh|acehselatan|kluetselatan|kedaikandang,23772
aceh|acehselatan|kluetselatan|gampongluar,23772
aceh|acehselatan|kluetselatan|ujung,23772
aceh|acehselatan|kluetselatan|jua,23772
aceh|acehselatan|kluetselatan|pasimeurapat,23772
aceh|acehselatan|kluetselatan|ujungpasir,23772
aceh|acehselatan|kluetselatan|geulumbuk,23772
aceh|acehselatan|kluetselatan|pasielembang,23772
aceh|acehselatan|kluetselatan|ujungpadang,23772
aceh|acehselatan|kluetselatan|indradamai,23772
aceh|acehselatan|labuhanhaji|bakauhulu,23761
aceh|acehselatan|labuhanhaji|padangbakau,23761
